Table Name,Column Name,OpenBet Logic derivation (Final)
gold_cnsm_c360.fact_bet_detail,bkey_bet_detail,default||TSN||ticket_component_number||bet_status||date
gold_cnsm_c360.fact_bet_detail,bkey_ticket,As discussed a CR is to be raised with Veremo for Hashed TSN 
gold_cnsm_c360.fact_bet_detail,ticket_component_number,"Just a sequential number generated for a bet.. 
holds no relevance.
purely on how we generate a sequence number in OB
Format - XXXXYYYYZZZZ where X is Line, Y is Leg and Z is LegPart all appended with 0 to the lenght of 4. 

e.g. Line - 1, Leg - 3 and LegPart - 20 will be 00001000300020 "
gold_cnsm_c360.fact_bet_detail,ticket_bet_number,OB - Ticket_bet_Number & Bet_component_Number.xlsx
gold_cnsm_c360.fact_bet_detail,bet_component_number,OB - Ticket_bet_Number & Bet_component_Number.xlsx
gold_cnsm_c360.fact_bet_detail,bkey_date,"CAM date will be used 
We are looking for CAM EOD day data for this for which CR to to raised and it  was discussed it will come in UTC and later cane be converted in AEST by DIVA"
gold_cnsm_c360.fact_bet_detail,bkey_account,"If  ""bets.accountTrait"" = ""ACCT_TRAIT_ACCOUNT""  
THEN bet.supportingState.customer.accountNumber
ELSE NULL"
gold_cnsm_c360.fact_bet_detail,bkey_customer_id,"trn_c.bkey_customer_id as bkey_customer_id,
 
trn_account joined with the ob_bets via sso.account_number and then joined to the trn_customer via bkey_customer_id
from all_bets
    left join {source_trn_account} as  trn_a
        on all_bets.customer_account_number = trn_a.account_number
    left join {source_trn_customer} as  trn_c
        on trn_c.bkey_customer_id = trn_a.bkey_customer_id"
gold_cnsm_c360.fact_bet_detail,bkey_event,Derived using book identifier and event date
gold_cnsm_c360.fact_bet_detail,bkey_product,"LOOP(Bet.Leg.LegPart)
{
IF(SupportingState.Outcome.categoryRef IN ('GREYHOUNDS', 'HARNESS_RACING', 'VR_HORSE_RACING', 'HORSE_RACING', 'RACING_EXTRAS', 'JOCKEY_CHALLENGE')) THEN
""SBETR""
ELSE
""SBET""
}"
gold_cnsm_c360.fact_bet_detail,bkey_financial_jurisdiction,"IF(Bet.accountTrait = """"ACCT_TRAIT_ANONYMOUS"""") THEN bet.state.betSlip.jurisdictions.terminal.regionCode;
ELSE
bet.state.betSlip.jurisdictions.account.regionCode;
"
gold_cnsm_c360.fact_bet_detail,bkey_outlet,"For Account bets use selling_terminal_name (from CAM) to calculate the bkey_outlet from dvce table , for cashbets use bet.sourceTerminalREF"
line,bkey_pool_id,Null
gold_cnsm_c360.fact_bet_detail,bet_status,"Bet Status Logic: 
bet_status = 'Resolved' : 
    (b.status in ('ACTIVE','SUSPENDED') and b.is_settled is True ) or ((b.status = 'CASHED_OUT' and b.settled_how = 'C') or (mh.context_ref) = 'BET.BET-CASHOUT')
bet_status = 'Unresolved':
    (b.status in ('ACTIVE','SUSPENDED') and b.is_settled is False and b.lines_win = 0 and b.lines_lose = 0)
bet_status = 'Partially_resolved':
    (b.status in ('ACTIVE','SUSPENDED') and b.is_settled is False and b.lines_number > b.lines_win + b.lines_lose and (b.lines_win > 0 or b.lines_lose > 0))
bet_status = 'Cancelled'
    case when  b.status = 'CANCELED' and b.settled_how = 'M'

Alias : 
    b --> slvr_crtd_rt_back.veromo_ob_bet
    mh --> slvr_crtd_rt_back.veromo_ob_message_header

Filters to be applied :
    Ignore PENDING Status : ( b.status <> 'PENDING') 
    Ignore CANCELED Status when settled_how is 'S' :  (b.status = 'CANCELED' AND b.settled_how = 'S')"
gold_cnsm_c360.fact_bet_detail,business_line,"""OpenBet"""
